description,categorie,type_service,urgence,origine_probleme,specialite_requise,pieces_necessaires,solution,prevention,duree
Demande d'intervention : perte de paquets réseau fréquente,reseau,configuration,faible,Mauvaise configuration des paramètres réseau,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Surveiller la bande passante et optimiser l'utilisation.,2.0
Client signale : récupération de données après formatage Merci d'intervenir rapidement.,software,installation,critique,Conflit entre logiciels installés,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,0.5
Signalement client : la souris ne répond plus depuis hier.,hardware,reparation,haute,Surchauffe causée par poussière accumulée,Hardware,"[""RAM DDR4 8GB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.5
Intervention requise : impossible d'accéder au serveur de fichiers,reseau,configuration,normale,Surcharge de la bande passante,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Vérifier régulièrement les câbles et connexions réseau.,1.5
La box internet clignote en rouge Cela bloque le travail.,reseau,depannage,normale,Mauvaise configuration des paramètres réseau,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Vérifier régulièrement les câbles et connexions réseau.,0.5
Le haut-parleur ne produit aucun son,hardware,reparation,faible,Composant électronique endommagé,Hardware,"[""Connecteur de charge""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.5
L'écran tactile ne répond plus,hardware,reparation,haute,Surchauffe causée par poussière accumulée,Hardware,"[""Connecteur de charge""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,2.0
Le client se plaint que le port USB ne détecte plus les périphériques Le client est inquiet.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.0
Signalement client : le disque dur externe n'est plus reconnu depuis ce matin.,hardware,maintenance,normale,Connexion interne défaillante,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,0.5
Demande d'intervention : la carte graphique ne s'affiche plus Cela se produit souvent.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Hardware,"[""RAM DDR4 8GB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,2.5
Signalement client : excel affiche des erreurs de calcul Cela bloque le travail.,software,reparation,haute,Surcharge mémoire et fragmentation,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Mettre à jour régulièrement le système et les logiciels pour la sécurité.,2.5
Le client se plaint que le système affiche une erreur de registre depuis hier.,software,configuration,haute,Licence expirée ou fichiers corrompus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Créer des points de restauration avant toute modification système.,1.5
L'ordinateur est très lent au démarrage Cela se produit souvent.,software,configuration,haute,Conflit entre logiciels installés,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Créer des points de restauration avant toute modification système.,1.5
Demande d'intervention : le téléphone ip ne se connecte plus depuis ce matin.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Mettre à jour le firmware des équipements réseau.,0.5
Le client indique que l'imprimante bourre constamment le papier depuis hier.,hardware,reparation,normale,Dommage physique suite à choc,Hardware,[],"Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,2.5
Le client se plaint que le réseau est trop lent pour la vidéoconférence,reseau,depannage,normale,Surcharge de la bande passante,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Documenter la configuration réseau pour faciliter les interventions futures.,0.5
Le VPN de l'entreprise ne se connecte plus Cela se produit souvent.,reseau,configuration,normale,Problème de sécurité réseau,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Vérifier régulièrement les câbles et connexions réseau.,1.5
Demande d'intervention : excel affiche des erreurs de calcul Problème urgent.,software,installation,haute,Erreur de configuration système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Éviter les logiciels piratés qui peuvent contenir des malwares.,1.5
Suite à un appel client : configuration qos pour prioriser les appels Le client a besoin d'aide.,reseau,configuration,faible,Problème de sécurité réseau,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,2.5
La box internet clignote en rouge Problème urgent.,reseau,installation,normale,Incompatibilité de protocoles réseau,Réseau,"[""Point d'accès WiFi""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Vérifier régulièrement les câbles et connexions réseau.,2.0
Microsoft Office ne s'ouvre plus Merci d'intervenir rapidement.,software,installation,normale,Infection par malware ou virus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Créer des points de restauration avant toute modification système.,1.5
Problème signalé : mise en place d'un réseau local pour bureaux Le client est inquiet.,reseau,installation,normale,Interférence WiFi avec autres équipements,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Documenter la configuration réseau pour faciliter les interventions futures.,4.0
Signalement client : les mises à jour automatiques échouent Problème urgent.,software,installation,normale,Erreur de configuration système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Créer des points de restauration avant toute modification système.,1.5
Le client se plaint que l'écran du laptop est fissuré,hardware,reparation,faible,Défaillance matérielle due à l'usure,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,2.5
Le client indique que le lecteur CD DVD n'ouvre plus Le client a besoin d'aide.,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.5
Client signale : le téléphone ip ne se connecte plus Merci d'intervenir rapidement.,reseau,installation,normale,Incompatibilité de protocoles réseau,Réseau,"[""Routeur fibre""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,2.0
Demande d'intervention : le réseau sans fil ne couvre pas tous les bureaux Cela bloque le travail.,reseau,depannage,normale,Surcharge de la bande passante,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Documenter la configuration réseau pour faciliter les interventions futures.,0.5
Problème de compatibilité après mise à jour Le client a besoin d'aide.,software,configuration,normale,Mise à jour défectueuse du système,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
Microsoft Office ne s'ouvre plus Le client est inquiet.,software,reparation,normale,Conflit entre logiciels installés,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,1.0
Intervention requise : une mise à jour a cassé une application,software,reparation,normale,Conflit entre logiciels installés,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
Signalement client : outlook ne se synchronise plus avec le mail depuis ce matin.,software,installation,normale,Corruption du système d'exploitation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,0.5
Client signale : le connecteur de charge est endommagé,hardware,reparation,haute,Défaillance matérielle due à l'usure,Hardware,"[""Clavier laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,3.0
Intervention requise : problème de compatibilité après mise à jour Problème urgent.,software,reparation,normale,Erreur de configuration système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Effectuer des sauvegardes régulières sur disque externe ou cloud.,2.5
Intervention requise : nettoyage complet du système après infection Cela se produit souvent.,software,installation,critique,Mise à jour défectueuse du système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,1.5
Le client se plaint que le système de sauvegarde automatique est arrêté Cela se produit souvent.,software,reparation,normale,Conflit entre logiciels installés,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,2.5
Le client se plaint que la connexion WiFi se déconnecte souvent depuis ce matin.,reseau,depannage,haute,Mauvaise configuration des paramètres réseau,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Documenter la configuration réseau pour faciliter les interventions futures.,1.0
Suite à un appel client : câblage réseau rj45 à installer,reseau,installation,faible,Problème de sécurité réseau,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Documenter la configuration réseau pour faciliter les interventions futures.,3.0
Windows à réinstaller suite à corruption Le client est inquiet.,software,installation,critique,Mise à jour défectueuse du système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,1.5
Problème signalé : le disque dur fait un bruit de cliquetis Cela bloque le travail.,hardware,maintenance,haute,Court-circuit dans l'alimentation,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
Problème signalé : migration de windows 7 vers windows 10 Le client est inquiet.,software,installation,normale,Surcharge mémoire et fragmentation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.0
Demande d'intervention : la batterie gonfle et déforme le boîtier depuis ce matin.,hardware,reparation,normale,Connexion interne défaillante,Hardware,"[""Clavier laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,3.0
Intervention requise : le système ne reconnaît plus le disque dur Le client est inquiet.,software,installation,normale,Erreur de configuration système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,2.0
Signalement client : mise en place d'un réseau local pour bureaux depuis hier.,reseau,installation,faible,Interférence WiFi avec autres équipements,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,4.0
Sécurisation du réseau WiFi entreprise depuis ce matin.,reseau,installation,normale,Câblage endommagé ou mal branché,Réseau,"[""Point d'accès WiFi""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Surveiller la bande passante et optimiser l'utilisation.,5.0
Intervention requise : écran bleu fréquent ram peut-être défectueuse depuis ce matin.,hardware,reparation,critique,Défaillance matérielle due à l'usure,Hardware,"[""Alimentation 500W""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,2.5
Le client se plaint que le système de sauvegarde automatique est arrêté Le client a besoin d'aide.,software,configuration,normale,Corruption du système d'exploitation,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Installer un antivirus fiable et le maintenir à jour.,1.0
Les fichiers ont disparu après une mise à jour Problème urgent.,software,configuration,normale,Infection par malware ou virus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Éviter les logiciels piratés qui peuvent contenir des malwares.,0.5
L'ordinateur s'éteint tout seul Cela se produit souvent.,hardware,maintenance,faible,Dommage physique suite à choc,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.0
Signalement client : les fichiers ont disparu après une mise à jour,software,installation,normale,Corruption du système d'exploitation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Éviter les logiciels piratés qui peuvent contenir des malwares.,0.5
Suite à un appel client : écran bleu fréquent ram peut-être défectueuse,hardware,maintenance,critique,Court-circuit dans l'alimentation,Hardware,[],Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
Client signale : le pc redémarre aléatoirement,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Clavier laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.0
Deux réseaux à fusionner après déménagement Merci d'intervenir rapidement.,reseau,depannage,normale,Mauvaise configuration des paramètres réseau,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Documenter la configuration réseau pour faciliter les interventions futures.,1.0
Signalement client : l'imprimante bourre constamment le papier Problème urgent.,hardware,reparation,haute,Vieillissement de la batterie,Hardware,"[""Écran LCD 15.6\""""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,1.0
Erreur critique au démarrage du système,software,installation,normale,Licence expirée ou fichiers corrompus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,2.0
Le client indique que le haut-parleur ne produit aucun son,hardware,reparation,faible,Dommage physique suite à choc,Hardware,"[""Disque dur HDD 1TB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.0
Adobe Acrobat plante à l'ouverture depuis ce matin.,software,configuration,haute,Infection par malware ou virus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.5
La carte réseau intégrée ne fonctionne plus Problème urgent.,hardware,reparation,critique,Connexion interne défaillante,Hardware,"[""Clavier laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.5
Intervention requise : une mise à jour a cassé une application,software,reparation,normale,Licence expirée ou fichiers corrompus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,1.0
Intervention requise : boucle réseau détectée réseau instable Le client est inquiet.,reseau,depannage,haute,Problème de sécurité réseau,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Surveiller la bande passante et optimiser l'utilisation.,1.0
L'ordinateur est infecté par un virus depuis hier.,software,installation,critique,Licence expirée ou fichiers corrompus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,2.0
Problème signalé : la carte graphique affiche des artefacts Cela se produit souvent.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,3.0
Le client indique que le logiciel de caisse ne fonctionne plus Merci d'intervenir rapidement.,software,reparation,critique,Licence expirée ou fichiers corrompus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.5
Le client indique que réinstallation complète de Windows Problème urgent.,software,installation,normale,Mise à jour défectueuse du système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,2.0
Suite à un appel client : le logiciel erp ne se lance plus depuis ce matin.,software,reparation,faible,Erreur de configuration système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,1.5
Demande d'intervention : la batterie du laptop ne charge plus depuis ce matin.,hardware,maintenance,faible,Composant électronique endommagé,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Remplacer la pâte thermique tous les 2 ans.,1.5
Suite à un appel client : installation d'un nouveau routeur fibre Problème urgent.,reseau,installation,normale,Câblage endommagé ou mal branché,Réseau,"[""Point d'accès WiFi""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Documenter la configuration réseau pour faciliter les interventions futures.,2.0
Le client se plaint que windows ne démarre plus écran bleu Le client a besoin d'aide.,software,reparation,critique,Mise à jour défectueuse du système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Éviter les logiciels piratés qui peuvent contenir des malwares.,1.0
Signalement client : le chargeur du laptop est cassé depuis ce matin.,hardware,reparation,faible,Connexion interne défaillante,Hardware,"[""Ventilateur CPU"", ""Pâte thermique""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,2.5
Client signale : le firewall bloque le trafic légitime Le client a besoin d'aide.,reseau,configuration,normale,Interférence WiFi avec autres équipements,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,2.5
Intervention requise : l'écran affiche des lignes horizontales depuis hier.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Alimentation 500W""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,2.5
Le client indique que outlook ne se synchronise plus avec le mail Le client est inquiet.,software,installation,normale,Corruption du système d'exploitation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Éviter les logiciels piratés qui peuvent contenir des malwares.,1.0
Intervention requise : sécurisation du réseau wifi entreprise depuis ce matin.,reseau,depannage,normale,Surcharge de la bande passante,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Documenter la configuration réseau pour faciliter les interventions futures.,1.0
Le navigateur redirige vers des sites inconnus Cela bloque le travail.,software,reparation,normale,Infection par malware ou virus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Effectuer des sauvegardes régulières sur disque externe ou cloud.,3.0
Erreur critique au démarrage du système,software,configuration,haute,Mise à jour défectueuse du système,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Éviter les logiciels piratés qui peuvent contenir des malwares.,1.5
Client signale : le disque ssd n'est plus reconnu par le bios Cela bloque le travail.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""RAM DDR4 8GB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,2.5
Demande d'intervention : le connecteur de charge est endommagé depuis hier.,hardware,reparation,haute,Vieillissement de la batterie,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.5
Problème de DNS sites web ne chargent pas Cela se produit souvent.,reseau,configuration,faible,Surcharge de la bande passante,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Surveiller la bande passante et optimiser l'utilisation.,2.5
Problème signalé : la webcam intégrée n'est plus détectée Le client est inquiet.,hardware,maintenance,normale,Dommage physique suite à choc,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,1.5
Client signale : le scanner ne détecte plus les documents Cela bloque le travail.,hardware,maintenance,normale,Composant électronique endommagé,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,0.5
Demande d'intervention : impossible de se connecter au réseau Problème urgent.,reseau,configuration,normale,Surcharge de la bande passante,Réseau,"[""Câble RJ45 5m""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,1.0
Le client indique que le lecteur CD DVD n'ouvre plus Cela bloque le travail.,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.0
Signalement client : impossible d'accéder au serveur de fichiers Problème urgent.,reseau,configuration,normale,Incompatibilité de protocoles réseau,Réseau,[],"Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Surveiller la bande passante et optimiser l'utilisation.,1.5
Le bloc d'alimentation émet des odeurs Cela bloque le travail.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Hardware,"[""Alimentation 500W""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.0
Le connecteur de charge est endommagé Problème urgent.,hardware,reparation,haute,Vieillissement de la batterie,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.0
Le bloc d'alimentation émet des odeurs Cela se produit souvent.,hardware,reparation,normale,Dommage physique suite à choc,Hardware,[],"Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.5
Suite à un appel client : windows à réinstaller suite à corruption,software,installation,critique,Corruption du système d'exploitation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
Les drivers de la carte graphique sont corrompus Problème urgent.,software,configuration,faible,Licence expirée ou fichiers corrompus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Créer des points de restauration avant toute modification système.,1.5
Le firewall bloque le trafic légitime Le client a besoin d'aide.,reseau,installation,normale,Interférence WiFi avec autres équipements,Réseau,"[""Routeur fibre""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Vérifier régulièrement les câbles et connexions réseau.,2.0
Client signale : les drivers de la carte graphique sont corrompus Le client a besoin d'aide.,software,configuration,normale,Surcharge mémoire et fragmentation,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.0
Intervention requise : le scanner ne détecte plus les documents Problème urgent.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Hardware,"[""Écran LCD 15.6\""""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.5
Demande d'intervention : le système de sauvegarde automatique est arrêté Le client a besoin d'aide.,software,configuration,normale,Erreur de configuration système,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.0
Suite à un appel client : récupération de données après formatage depuis hier.,software,configuration,critique,Corruption du système d'exploitation,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Créer des points de restauration avant toute modification système.,1.0
Signalement client : le touchpad du laptop est bloqué depuis hier.,hardware,maintenance,critique,Vieillissement de la batterie,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,1.0
L'alimentation électrique ne démarre pas Merci d'intervenir rapidement.,hardware,maintenance,normale,Composant électronique endommagé,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.5
Problème signalé : excel affiche des erreurs de calcul Le client est inquiet.,software,reparation,haute,Corruption du système d'exploitation,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Mettre à jour régulièrement le système et les logiciels pour la sécurité.,3.0
Intervention requise : excel affiche des erreurs de calcul,software,configuration,haute,Erreur de configuration système,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
Réinstallation complète de Windows Cela bloque le travail.,software,installation,normale,Licence expirée ou fichiers corrompus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,1.0
Le processeur surchauffe pc très lent,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.5
Demande d'intervention : les mises à jour automatiques échouent Le client est inquiet.,software,configuration,normale,Surcharge mémoire et fragmentation,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Installer un antivirus fiable et le maintenir à jour.,0.5
Suite à un appel client : la batterie du laptop ne charge plus Problème urgent.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Hardware,"[""Disque dur HDD 1TB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.0
Client signale : windows ne démarre plus écran bleu Merci d'intervenir rapidement.,software,reparation,critique,Mise à jour défectueuse du système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,2.5
Suite à un appel client : le haut-parleur ne produit aucun son Le client est inquiet.,hardware,maintenance,normale,Vieillissement de la batterie,Hardware,[],Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,0.5
Client signale : configuration d'un nouveau point d'accès wifi,reseau,installation,normale,Interférence WiFi avec autres équipements,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Mettre à jour le firmware des équipements réseau.,2.0
