description,categorie,type_service,urgence,origine_probleme,specialite_requise,pieces_necessaires
Signalement client : nettoyage complet du système après infection,software,configuration,haute,Corruption du système d'exploitation,Software,[]
Intervention requise : l'imprimante imprime des pages vides Problème récurrent.,hardware,maintenance,faible,Défaillance matérielle due à l'usure,Généraliste,[]
Problème signalé : le chargeur du laptop est cassé Cela se produit souvent.,hardware,reparation,faible,Dommage physique suite à choc,Hardware,"[""RAM DDR4 8GB""]"
Le client indique que la carte graphique affiche des artefacts Problème urgent.,hardware,reparation,normale,Court-circuit dans l'alimentation,Généraliste,"[""Écran LCD 15.6\""""]"
Problème signalé : le serveur de messagerie est inaccessible Le client a besoin d'aide.,reseau,configuration,normale,Incompatibilité de protocoles réseau,Généraliste,"[""Switch 8 ports""]"
Client signale : adobe acrobat plante à l'ouverture Cela se produit souvent.,software,configuration,normale,Licence expirée ou fichiers corrompus,Généraliste,[]
Le client indique que l'écran reste noir après allumage depuis ce matin.,hardware,reparation,normale,Dommage physique suite à choc,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]"
Le client indique que configuration du proxy pour internet Le client a besoin d'aide.,reseau,depannage,faible,Incompatibilité de protocoles réseau,Réseau,"[""Switch 8 ports""]"
"Le client indique que écran bleu fréquent, RAM peut-être défectueuse depuis hier.",hardware,maintenance,haute,Court-circuit dans l'alimentation,Généraliste,[]
Client signale : le système de sauvegarde automatique est arrêté depuis hier.,software,installation,normale,Erreur de configuration système,Software,[]
Intervention requise : adobe acrobat plante à l'ouverture Le client a besoin d'aide.,software,installation,normale,Mise à jour défectueuse du système,Software,[]
Le système est bloqué en mode sans échec Cela se produit souvent.,software,installation,haute,Corruption du système d'exploitation,Software,[]
Intervention requise : le logiciel de comptabilité plante,software,configuration,normale,Mise à jour défectueuse du système,Généraliste,[]
Intervention requise : perte de paquets réseau fréquente Problème récurrent.,reseau,depannage,faible,Câblage endommagé ou mal branché,Réseau,"[""Câble RJ45 5m""]"
Client signale : la box internet clignote en rouge depuis hier.,reseau,configuration,faible,Problème de sécurité réseau,Généraliste,[]
Le client indique que la charnière du laptop est cassée depuis hier.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Généraliste,"[""Disque SSD 256GB"", ""Câble SATA""]"
Client signale : excel affiche des erreurs de calcul Cela se produit souvent.,software,installation,haute,Licence expirée ou fichiers corrompus,Généraliste,[]
Problème signalé : configuration du proxy pour internet Problème urgent.,reseau,configuration,normale,Équipement réseau défaillant,Réseau,"[""Switch 8 ports""]"
Signalement client : l'ordinateur ne démarre plus du tout Problème urgent.,hardware,reparation,haute,Composant électronique endommagé,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]"
Problème signalé : l'antivirus ne peut pas supprimer les menaces Problème récurrent.,software,installation,critique,Conflit entre logiciels installés,Généraliste,[]
Problème signalé : l'alimentation électrique ne démarre pas Problème récurrent.,hardware,reparation,faible,Connexion interne défaillante,Généraliste,[]
Problème signalé : le téléphone ip ne se connecte plus Cela se produit souvent.,reseau,depannage,faible,Problème de sécurité réseau,Réseau,[]
Problème signalé : windows update bloqué depuis plusieurs jours Problème urgent.,software,reparation,haute,Infection par malware ou virus,Généraliste,[]
Le client indique que impossible de se connecter au réseau Problème urgent.,reseau,depannage,faible,Mauvaise configuration des paramètres réseau,Réseau,"[""Switch 8 ports""]"
Problème signalé : perte de paquets réseau fréquente depuis ce matin.,reseau,installation,normale,Surcharge de la bande passante,Généraliste,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]"
Client signale : problème de routage entre deux sites Problème urgent.,reseau,depannage,normale,Incompatibilité de protocoles réseau,Réseau,"[""Câble RJ45 5m""]"
Intervention requise : mise à jour du firmware du routeur Cela se produit souvent.,reseau,configuration,normale,Câblage endommagé ou mal branché,Généraliste,"[""Câble RJ45 5m""]"
Problème signalé : partage d'imprimante réseau impossible Cela se produit souvent.,reseau,depannage,faible,Surcharge de la bande passante,Réseau,"[""Switch 8 ports""]"
Intervention requise : la carte mère émet des bips au démarrage Le client a besoin d'aide.,hardware,reparation,faible,Défaillance matérielle due à l'usure,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]"
Intervention requise : perte de paquets réseau fréquente depuis ce matin.,reseau,configuration,normale,Surcharge de la bande passante,Réseau,"[""Switch 8 ports""]"
Problème signalé : problème de compatibilité après mise à jour,software,reparation,faible,Erreur de configuration système,Software,[]
Client signale : le logiciel de comptabilité plante Problème récurrent.,software,installation,haute,Conflit entre logiciels installés,Généraliste,[]
Intervention requise : la webcam intégrée n'est plus détectée depuis hier.,hardware,reparation,faible,Composant électronique endommagé,Hardware,"[""Connecteur de charge""]"
Le bouton d'alimentation ne répond plus Problème urgent.,hardware,maintenance,normale,Court-circuit dans l'alimentation,Hardware,[]
Client signale : le serveur nas n'est plus accessible Cela se produit souvent.,reseau,depannage,normale,Surcharge de la bande passante,Généraliste,"[""Câble RJ45 5m""]"
Le client indique que la batterie gonfle et déforme le boîtier,hardware,reparation,faible,Surchauffe causée par poussière accumulée,Hardware,"[""Disque dur HDD 1TB""]"
Client signale : partage d'imprimante réseau impossible,reseau,depannage,normale,Équipement réseau défaillant,Réseau,[]
Le client indique que la charnière du laptop est cassée depuis ce matin.,hardware,maintenance,faible,Défaillance matérielle due à l'usure,Hardware,[]
Client signale : l'écran affiche des lignes horizontales Le client a besoin d'aide.,hardware,maintenance,faible,Vieillissement de la batterie,Hardware,[]
Signalement client : mise à jour du firmware du routeur,reseau,configuration,faible,Câblage endommagé ou mal branché,Généraliste,"[""Switch 8 ports""]"
Problème signalé : le disque dur fait un bruit de cliquetis Problème récurrent.,hardware,reparation,haute,Composant électronique endommagé,Hardware,[]
Signalement client : windows à réinstaller suite à corruption Cela se produit souvent.,software,configuration,critique,Licence expirée ou fichiers corrompus,Software,[]
Le client indique que le clavier ne fonctionne plus Le client a besoin d'aide.,hardware,reparation,critique,Vieillissement de la batterie,Généraliste,"[""Batterie laptop""]"
Signalement client : la batterie gonfle et déforme le boîtier depuis ce matin.,hardware,maintenance,faible,Court-circuit dans l'alimentation,Généraliste,[]
Client signale : le scanner ne détecte plus les documents Cela se produit souvent.,hardware,reparation,faible,Composant électronique endommagé,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]"
Problème signalé : le wifi est très lent et instable Le client a besoin d'aide.,reseau,configuration,normale,Équipement réseau défaillant,Généraliste,"[""Switch 8 ports""]"
Signalement client : l'ordinateur est très lent au démarrage depuis ce matin.,software,installation,normale,Infection par malware ou virus,Software,[]
Signalement client : la webcam intégrée n'est plus détectée Problème récurrent.,hardware,reparation,normale,Court-circuit dans l'alimentation,Généraliste,"[""Disque dur HDD 1TB""]"
Intervention requise : le système affiche une erreur de registre depuis ce matin.,software,configuration,haute,Erreur de configuration système,Software,[]
Signalement client : configuration du pare-feu pour accès externe Problème récurrent.,reseau,installation,faible,Surcharge de la bande passante,Généraliste,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]"
Problème signalé : configuration d'un nouveau point d'accès wifi depuis hier.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Généraliste,"[""Switch 8 ports""]"
Intervention requise : migration de windows 7 vers windows 10,software,installation,normale,Licence expirée ou fichiers corrompus,Généraliste,[]
Le client indique que les drivers de la carte graphique sont corrompus Le client a besoin d'aide.,software,configuration,faible,Surcharge mémoire et fragmentation,Généraliste,[]
Signalement client : l'ordinateur chauffe excessivement Problème récurrent.,hardware,reparation,normale,Dommage physique suite à choc,Hardware,"[""Connecteur de charge""]"
Problème signalé : configuration des droits d'accès utilisateurs depuis hier.,software,installation,normale,Surcharge mémoire et fragmentation,Généraliste,[]
Signalement client : impossible de se connecter au réseau Problème urgent.,reseau,configuration,normale,Équipement réseau défaillant,Généraliste,"[""Switch 8 ports""]"
Client signale : le haut-parleur ne produit aucun son Cela se produit souvent.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Problème signalé : la batterie du laptop ne charge plus Cela se produit souvent.,hardware,reparation,haute,Court-circuit dans l'alimentation,Hardware,"[""Alimentation 500W""]"
Problème signalé : le connecteur de charge est endommagé Le client a besoin d'aide.,hardware,maintenance,normale,Composant électronique endommagé,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Intervention requise : le switch réseau tombe en panne,reseau,installation,normale,Interférence WiFi avec autres équipements,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]"
Redirection de port sur le routeur Le client a besoin d'aide.,reseau,depannage,faible,Câblage endommagé ou mal branché,Généraliste,"[""Câble RJ45 5m""]"
Le client indique que windows Update bloqué depuis plusieurs jours Problème récurrent.,software,installation,haute,Corruption du système d'exploitation,Généraliste,[]
Client signale : la carte mère émet des bips au démarrage depuis hier.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Généraliste,"[""Pâte thermique""]"
Client signale : l'imprimante imprime des pages vides depuis hier.,hardware,maintenance,normale,Court-circuit dans l'alimentation,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Signalement client : le système de sauvegarde automatique est arrêté Cela se produit souvent.,software,configuration,normale,Licence expirée ou fichiers corrompus,Généraliste,[]
Le VPN de l'entreprise ne se connecte plus depuis ce matin.,reseau,depannage,faible,Problème de sécurité réseau,Généraliste,"[""Câble RJ45 5m""]"
Les fichiers ont disparu après une mise à jour Problème urgent.,software,installation,normale,Mise à jour défectueuse du système,Software,[]
Problème signalé : configuration du démarrage automatique depuis hier.,software,installation,normale,Erreur de configuration système,Généraliste,[]
Signalement client : le haut-parleur ne produit aucun son Problème récurrent.,hardware,reparation,faible,Vieillissement de la batterie,Hardware,"[""Clavier laptop""]"
Client signale : sécurisation contre les intrusions réseau,reseau,depannage,normale,Surcharge de la bande passante,Généraliste,[]
Problème signalé : le touchpad du laptop est bloqué depuis hier.,hardware,reparation,critique,Court-circuit dans l'alimentation,Généraliste,"[""Écran LCD 15.6\""""]"
Client signale : le logiciel erp ne se lance plus Le client a besoin d'aide.,software,installation,normale,Surcharge mémoire et fragmentation,Généraliste,[]
Le scanner ne détecte plus les documents,hardware,maintenance,normale,Dommage physique suite à choc,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Signalement client : le profil utilisateur est corrompu Cela se produit souvent.,software,installation,normale,Corruption du système d'exploitation,Généraliste,[]
Le client indique que la carte mère émet des bips au démarrage Le client a besoin d'aide.,hardware,reparation,faible,Court-circuit dans l'alimentation,Généraliste,"[""Batterie laptop""]"
Problème signalé : installation d'un nouveau système d'exploitation depuis hier.,software,installation,normale,Infection par malware ou virus,Généraliste,[]
Signalement client : la connexion wifi se déconnecte souvent depuis hier.,reseau,depannage,haute,Interférence WiFi avec autres équipements,Généraliste,[]
Le client indique que sécurisation du réseau WiFi entreprise Le client a besoin d'aide.,reseau,configuration,normale,Incompatibilité de protocoles réseau,Réseau,[]
Problème signalé : la charnière du laptop est cassée,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Problème signalé : adobe acrobat plante à l'ouverture,software,installation,haute,Surcharge mémoire et fragmentation,Généraliste,[]
Intervention requise : le serveur de messagerie est inaccessible Le client a besoin d'aide.,reseau,configuration,normale,Interférence WiFi avec autres équipements,Réseau,[]
"Client signale : windows ne démarre plus, écran bleu Le client a besoin d'aide.",software,reparation,critique,Conflit entre logiciels installés,Généraliste,[]
Problème signalé : le logiciel de facturation perd ses données depuis hier.,software,reparation,faible,Conflit entre logiciels installés,Généraliste,[]
Problème signalé : le haut-parleur ne produit aucun son Le client a besoin d'aide.,hardware,maintenance,faible,Court-circuit dans l'alimentation,Hardware,[]
Signalement client : les fichiers ont disparu après une mise à jour,software,configuration,faible,Corruption du système d'exploitation,Software,[]
Signalement client : le système affiche une erreur de registre Problème récurrent.,software,reparation,haute,Licence expirée ou fichiers corrompus,Généraliste,[]
Intervention requise : le système est bloqué en mode sans échec Problème urgent.,software,configuration,critique,Erreur de configuration système,Software,[]
Client signale : l'imprimante bourre constamment le papier depuis hier.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Intervention requise : configuration d'un serveur dhcp depuis hier.,reseau,configuration,normale,Incompatibilité de protocoles réseau,Réseau,"[""Câble RJ45 5m""]"
Intervention requise : le scanner ne détecte plus les documents Problème urgent.,hardware,reparation,normale,Vieillissement de la batterie,Généraliste,"[""Clavier laptop""]"
Problème signalé : configuration qos pour prioriser les appels Cela se produit souvent.,reseau,configuration,normale,Surcharge de la bande passante,Généraliste,"[""Switch 8 ports""]"
Client signale : installation d'un câble fibre optique depuis hier.,reseau,installation,faible,Problème de sécurité réseau,Généraliste,"[""Point d'accès WiFi""]"
Signalement client : le câble d'alimentation est endommagé Problème urgent.,hardware,maintenance,haute,Défaillance matérielle due à l'usure,Généraliste,"[""Pâte thermique"", ""Spray air comprimé""]"
Le client indique que la souris ne répond plus Problème urgent.,hardware,reparation,haute,Vieillissement de la batterie,Généraliste,"[""Clavier laptop""]"
La carte graphique ne s'affiche plus Cela se produit souvent.,hardware,reparation,normale,Vieillissement de la batterie,Hardware,"[""Câble d'alimentation""]"
Le client indique que le système de sauvegarde automatique est arrêté depuis ce matin.,software,installation,normale,Conflit entre logiciels installés,Software,[]
Le client indique que le logiciel de caisse ne fonctionne plus Problème urgent.,software,installation,haute,Mise à jour défectueuse du système,Généraliste,[]
Client signale : la webcam intégrée n'est plus détectée,hardware,maintenance,faible,Court-circuit dans l'alimentation,Généraliste,"[""Pâte thermique""]"
Le client indique que excel affiche des erreurs de calcul depuis hier.,software,installation,haute,Conflit entre logiciels installés,Software,[]
Le serveur de messagerie est inaccessible depuis hier.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Généraliste,"[""Switch 8 ports""]"
Le client indique que l'imprimante ne reconnaît plus le papier depuis ce matin.,hardware,maintenance,faible,Défaillance matérielle due à l'usure,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Intervention requise : le clavier du laptop a des touches enfoncées depuis hier.,hardware,maintenance,normale,Composant électronique endommagé,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Client signale : le serveur de messagerie est inaccessible Problème récurrent.,reseau,depannage,faible,Câblage endommagé ou mal branché,Réseau,"[""Câble RJ45 5m""]"
Client signale : la batterie gonfle et déforme le boîtier Problème récurrent.,hardware,maintenance,faible,Dommage physique suite à choc,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Intervention requise : le lecteur cd dvd n'ouvre plus Le client a besoin d'aide.,hardware,reparation,normale,Vieillissement de la batterie,Généraliste,"[""Disque dur HDD 1TB""]"
Le bouton d'alimentation ne répond plus,hardware,reparation,haute,Dommage physique suite à choc,Généraliste,"[""Clavier laptop""]"
Client signale : le système de sauvegarde automatique est arrêté Problème urgent.,software,installation,faible,Mise à jour défectueuse du système,Généraliste,[]
Problème signalé : problème de routage entre deux sites,reseau,installation,faible,Surcharge de la bande passante,Généraliste,"[""Switch 16 ports"", ""Câble RJ45 20m""]"
Intervention requise : désinstallation impossible d'un logiciel,software,reparation,faible,Licence expirée ou fichiers corrompus,Généraliste,[]
Intervention requise : remplacement d'un switch défaillant Problème récurrent.,reseau,installation,normale,Câblage endommagé ou mal branché,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]"
Problème signalé : installation d'un nouveau système d'exploitation Problème urgent.,software,installation,faible,Licence expirée ou fichiers corrompus,Software,[]
Signalement client : partage d'imprimante réseau impossible Cela se produit souvent.,reseau,configuration,normale,Interférence WiFi avec autres équipements,Réseau,"[""Câble RJ45 5m""]"
Migration de Windows 7 vers Windows 10 Cela se produit souvent.,software,reparation,faible,Conflit entre logiciels installés,Software,[]
Signalement client : la webcam intégrée n'est plus détectée depuis hier.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Hardware,"[""Connecteur de charge""]"
Le client indique que les drivers de la carte graphique sont corrompus Le client a besoin d'aide.,software,reparation,faible,Corruption du système d'exploitation,Software,[]
Problème signalé : l'imprimante ne reconnaît plus le papier Le client a besoin d'aide.,hardware,reparation,faible,Vieillissement de la batterie,Hardware,"[""Ventilateur CPU"", ""Pâte thermique""]"
Problème signalé : configuration d'un serveur dhcp Le client a besoin d'aide.,reseau,configuration,normale,Câblage endommagé ou mal branché,Généraliste,[]
Signalement client : la carte mère émet des bips au démarrage depuis hier.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Généraliste,"[""Batterie laptop""]"
Sécurisation du réseau WiFi entreprise depuis ce matin.,reseau,installation,normale,Mauvaise configuration des paramètres réseau,Généraliste,"[""Point d'accès WiFi""]"
Problème signalé : nettoyage complet du système après infection depuis hier.,software,installation,critique,Infection par malware ou virus,Généraliste,[]
Intervention requise : remplacement d'un switch défaillant,reseau,installation,faible,Mauvaise configuration des paramètres réseau,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]"
Le client indique que le navigateur redirige vers des sites inconnus Le client a besoin d'aide.,software,configuration,faible,Corruption du système d'exploitation,Généraliste,[]
L'ordinateur ne démarre plus du tout Le client a besoin d'aide.,hardware,maintenance,critique,Vieillissement de la batterie,Généraliste,[]
Sécurisation contre les intrusions réseau Cela se produit souvent.,reseau,depannage,faible,Surcharge de la bande passante,Généraliste,"[""Switch 8 ports""]"
Intervention requise : le firewall bloque le trafic légitime Problème récurrent.,reseau,configuration,normale,Mauvaise configuration des paramètres réseau,Généraliste,[]
Mise en place d'un réseau WiFi sécurisé Cela se produit souvent.,reseau,depannage,faible,Câblage endommagé ou mal branché,Généraliste,[]
Problème signalé : redirection de port sur le routeur,reseau,depannage,faible,Incompatibilité de protocoles réseau,Réseau,"[""Switch 8 ports""]"
Signalement client : le disque dur externe n'est plus reconnu,hardware,maintenance,faible,Surchauffe causée par poussière accumulée,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
L'écran du laptop est fissuré Problème urgent.,hardware,reparation,normale,Dommage physique suite à choc,Hardware,"[""Câble d'alimentation""]"
Problème signalé : installation d'un câble fibre optique,reseau,depannage,normale,Équipement réseau défaillant,Réseau,"[""Câble RJ45 5m""]"
Windows demande une activation non valide Le client a besoin d'aide.,software,installation,normale,Mise à jour défectueuse du système,Software,[]
Le client indique que le scanner ne détecte plus les documents Problème récurrent.,hardware,maintenance,faible,Défaillance matérielle due à l'usure,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]"
Signalement client : l'ordinateur s'éteint tout seul Problème récurrent.,hardware,reparation,normale,Composant électronique endommagé,Généraliste,"[""Câble d'alimentation""]"
Client signale : le disque dur externe n'est plus reconnu Le client a besoin d'aide.,hardware,reparation,faible,Défaillance matérielle due à l'usure,Hardware,"[""Clavier laptop""]"
Problème signalé : l'ordinateur est infecté par un virus Cela se produit souvent.,software,reparation,critique,Licence expirée ou fichiers corrompus,Software,[]
Intervention requise : l'écran affiche des lignes horizontales,hardware,maintenance,faible,Défaillance matérielle due à l'usure,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Mise à jour du firmware du routeur Problème récurrent.,reseau,configuration,normale,Problème de sécurité réseau,Réseau,"[""Câble RJ45 5m""]"
Problème signalé : windows demande une activation non valide depuis ce matin.,software,installation,faible,Conflit entre logiciels installés,Software,[]
Client signale : la carte mère émet des bips au démarrage Problème récurrent.,hardware,reparation,faible,Surchauffe causée par poussière accumulée,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]"
Client signale : l'imprimante imprime des pages vides Problème récurrent.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,[]
"Le client indique que écran bleu fréquent, RAM peut-être défectueuse",hardware,reparation,critique,Connexion interne défaillante,Généraliste,"[""RAM DDR4 8GB""]"
Problème signalé : l'écran reste noir après allumage,hardware,reparation,normale,Défaillance matérielle due à l'usure,Généraliste,"[""Batterie laptop""]"
Intervention requise : l'imprimante bourre constamment le papier depuis hier.,hardware,reparation,haute,Surchauffe causée par poussière accumulée,Généraliste,"[""Batterie laptop""]"
Client signale : le serveur nas n'est plus accessible Cela se produit souvent.,reseau,depannage,normale,Équipement réseau défaillant,Généraliste,[]
Intervention requise : impossible d'accéder au serveur de fichiers Problème récurrent.,reseau,installation,normale,Mauvaise configuration des paramètres réseau,Réseau,"[""Point d'accès WiFi""]"
Le client indique que la souris ne répond plus,hardware,maintenance,normale,Court-circuit dans l'alimentation,Hardware,[]
Signalement client : le switch réseau tombe en panne,reseau,configuration,normale,Équipement réseau défaillant,Généraliste,"[""Switch 8 ports""]"
Client signale : partage d'imprimante réseau impossible Le client a besoin d'aide.,reseau,configuration,normale,Câblage endommagé ou mal branché,Généraliste,"[""Câble RJ45 5m""]"
Signalement client : configuration du démarrage automatique depuis ce matin.,software,installation,faible,Surcharge mémoire et fragmentation,Généraliste,[]
Intervention requise : la box internet clignote en rouge,reseau,depannage,normale,Interférence WiFi avec autres équipements,Réseau,"[""Switch 8 ports""]"
Configuration d'un réseau invité séparé,reseau,configuration,faible,Problème de sécurité réseau,Généraliste,"[""Switch 8 ports""]"
Intervention requise : windows demande une activation non valide Le client a besoin d'aide.,software,configuration,normale,Corruption du système d'exploitation,Généraliste,[]
Client signale : la box internet clignote en rouge Le client a besoin d'aide.,reseau,installation,faible,Surcharge de la bande passante,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]"
Le client indique que excel affiche des erreurs de calcul Problème urgent.,software,reparation,normale,Infection par malware ou virus,Software,[]
Client signale : le touchpad du laptop est bloqué Problème urgent.,hardware,maintenance,critique,Vieillissement de la batterie,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]"
Client signale : windows à réinstaller suite à corruption depuis ce matin.,software,reparation,critique,Erreur de configuration système,Software,[]
Les fichiers ont disparu après une mise à jour Problème récurrent.,software,configuration,normale,Infection par malware ou virus,Généraliste,[]
Le client indique que le profil utilisateur est corrompu depuis hier.,software,installation,faible,Infection par malware ou virus,Software,[]
Le client indique que configuration accès distant RDP Problème urgent.,reseau,configuration,normale,Interférence WiFi avec autres équipements,Généraliste,"[""Switch 8 ports""]"
"Intervention requise : windows ne démarre plus, écran bleu Problème urgent.",software,installation,haute,Infection par malware ou virus,Généraliste,[]
Client signale : installation d'un nouveau système d'exploitation Cela se produit souvent.,software,reparation,faible,Corruption du système d'exploitation,Généraliste,[]
Problème signalé : impossible de se connecter au réseau Le client a besoin d'aide.,reseau,depannage,normale,Problème de sécurité réseau,Généraliste,"[""Switch 8 ports""]"
Problème signalé : windows update bloqué depuis plusieurs jours Problème urgent.,software,reparation,critique,Surcharge mémoire et fragmentation,Software,[]
Client signale : la carte réseau intégrée ne fonctionne plus depuis hier.,hardware,maintenance,critique,Vieillissement de la batterie,Hardware,"[""Pâte thermique""]"
Intervention requise : mise en place d'un réseau wifi sécurisé depuis ce matin.,reseau,configuration,faible,Interférence WiFi avec autres équipements,Réseau,"[""Switch 8 ports""]"
Client signale : le touchpad du laptop est bloqué Problème récurrent.,hardware,maintenance,critique,Connexion interne défaillante,Généraliste,[]
Intervention requise : l'ordinateur ne démarre plus du tout,hardware,maintenance,haute,Surchauffe causée par poussière accumulée,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]"
Signalement client : l'alimentation électrique ne démarre pas Le client a besoin d'aide.,hardware,reparation,faible,Défaillance matérielle due à l'usure,Généraliste,[]
Le client indique que le routeur ne distribue plus d'adresses IP Le client a besoin d'aide.,reseau,installation,faible,Mauvaise configuration des paramètres réseau,Généraliste,"[""Switch 16 ports"", ""Câble RJ45 20m""]"
Le client indique que le touchpad du laptop est bloqué,hardware,maintenance,critique,Vieillissement de la batterie,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Signalement client : l'imprimante ne reconnaît plus le papier depuis hier.,hardware,reparation,faible,Vieillissement de la batterie,Hardware,[]
Signalement client : l'ordinateur est infecté par un ransomware depuis ce matin.,software,configuration,critique,Mise à jour défectueuse du système,Généraliste,[]
Signalement client : le disque dur fait un bruit de cliquetis depuis ce matin.,hardware,maintenance,haute,Court-circuit dans l'alimentation,Hardware,[]
Intervention requise : installation d'un nouveau routeur fibre Problème récurrent.,reseau,depannage,faible,Surcharge de la bande passante,Généraliste,[]
Client signale : le disque dur fait un bruit de cliquetis Problème urgent.,hardware,reparation,haute,Composant électronique endommagé,Généraliste,"[""Disque SSD 256GB"", ""Câble SATA""]"
Client signale : windows update bloqué depuis plusieurs jours depuis ce matin.,software,reparation,haute,Mise à jour défectueuse du système,Software,[]
Intervention requise : la carte graphique ne s'affiche plus,hardware,maintenance,normale,Vieillissement de la batterie,Hardware,[]
Problème signalé : installation d'un câble fibre optique Problème urgent.,reseau,depannage,faible,Câblage endommagé ou mal branché,Réseau,"[""Câble RJ45 5m""]"
Client signale : l'écran reste noir après allumage Problème récurrent.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Généraliste,[]
Intervention requise : mise à jour du firmware du routeur Le client a besoin d'aide.,reseau,depannage,faible,Surcharge de la bande passante,Généraliste,"[""Switch 8 ports""]"
Client signale : la charnière du laptop est cassée Problème récurrent.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,[]
Signalement client : le disque ssd n'est plus reconnu par le bios Problème récurrent.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Généraliste,"[""RAM DDR4 8GB""]"
Client signale : le bloc d'alimentation émet des odeurs Le client a besoin d'aide.,hardware,maintenance,normale,Composant électronique endommagé,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Outlook ne se synchronise plus avec le mail,software,configuration,faible,Mise à jour défectueuse du système,Généraliste,[]
Client signale : l'écran affiche des lignes horizontales Cela se produit souvent.,hardware,reparation,faible,Surchauffe causée par poussière accumulée,Hardware,"[""Écran LCD 15.6\""""]"
Le client indique que le lecteur CD DVD n'ouvre plus depuis hier.,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Généraliste,[]
Problème signalé : le logiciel de comptabilité plante depuis ce matin.,software,reparation,haute,Licence expirée ou fichiers corrompus,Généraliste,[]
Problème signalé : le profil utilisateur est corrompu depuis ce matin.,software,installation,faible,Surcharge mémoire et fragmentation,Généraliste,[]
Intervention requise : la souris ne répond plus Problème urgent.,hardware,reparation,haute,Court-circuit dans l'alimentation,Hardware,"[""Ventilateur CPU"", ""Pâte thermique""]"
Problème signalé : l'ordinateur est infecté par un virus Cela se produit souvent.,software,reparation,critique,Corruption du système d'exploitation,Généraliste,[]
Intervention requise : configuration des droits d'accès utilisateurs depuis hier.,software,installation,normale,Surcharge mémoire et fragmentation,Généraliste,[]
L'ordinateur est infecté par un virus Cela se produit souvent.,software,configuration,haute,Corruption du système d'exploitation,Généraliste,[]
Signalement client : le système est bloqué sur l'écran de connexion Cela se produit souvent.,software,installation,critique,Corruption du système d'exploitation,Généraliste,[]
Intervention requise : l'ordinateur chauffe excessivement Problème récurrent.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]"
Signalement client : erreur 0x80070057 lors d'une opération windows depuis ce matin.,software,configuration,normale,Corruption du système d'exploitation,Software,[]
Problème signalé : la carte réseau intégrée ne fonctionne plus depuis ce matin.,hardware,reparation,haute,Dommage physique suite à choc,Généraliste,"[""RAM DDR4 8GB""]"
Le client indique que le clavier du laptop a des touches enfoncées,hardware,reparation,normale,Dommage physique suite à choc,Généraliste,"[""Disque SSD 256GB"", ""Câble SATA""]"
Problème signalé : installation d'un nouveau système d'exploitation,software,reparation,normale,Conflit entre logiciels installés,Généraliste,[]
Problème signalé : l'écran du laptop est fissuré Le client a besoin d'aide.,hardware,reparation,normale,Connexion interne défaillante,Généraliste,"[""Ventilateur CPU"", ""Pâte thermique""]"
